gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
CCL19,Q99731,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),CCL19 ELC MIP3B SCYA19,secreted,M1,m1 microglia,,,,,,,,,,,,,,,
CCL2,P13500,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),CCL2 MCP1 SCYA2,secreted,M1,M2a,m1 microglia,,,,,,,,,,,,,,
CCL20,P78556,C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20) [Cleaved into: CCL20(1-67); CCL20(1-64); CCL20(2-70)],CCL20 LARC MIP3A SCYA20,secreted,M1,M2b,m1 microglia,,,,,,,,,,,,,,
CCL22,O00626,C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)],CCL22 MDC SCYA22 A-152E5.1,secreted,M2a,,,,,,,,,,,,,,,,
CCL23,P55773,C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23) [Cleaved into: CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99)],CCL23 MIP3 MPIF1 SCYA23,secreted,M2a,,,,,,,,,,,,,,,,
CCL24,O00175,C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24),CCL24 MPIF2 SCYA24,secreted,M2a,,,,,,,,,,,,,,,,
CCL26,Q9Y258,C-C motif chemokine 26 (CC chemokine IMAC) (Eotaxin-3) (Macrophage inflammatory protein 4-alpha) (MIP-4-alpha) (Small-inducible cytokine A26) (Thymic stroma chemokine-1) (TSC-1),CCL26 SCYA26 UNQ216/PRO242,secreted,M2a,,,,,,,,,,,,,,,,
CCL3,P10147,C-C motif chemokine 3 (G0/G1 switch regulatory protein 19-1) (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (PAT 464.1) (SIS-beta) (Small-inducible cytokine A3) (Tonsillar lymphocyte LD78 alpha protein) [Cleaved into: MIP-1-alpha(4-69) (LD78-alpha(4-69))],CCL3 G0S19-1 MIP1A SCYA3,secreted,M1,m1 microglia,effector CD8 T,basophil,ILC1,,,,,,,,,,,,
CCL4,P13236,C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)],CCL4 LAG1 MIP1B SCYA4,secreted,M1,m1 microglia,effector CD8 T,,,,,,,,,,,,,,
CCL5,P13501,C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)],CCL5 D17S136E SCYA5,secreted,M1,m1 microglia,M2d,effector CD8 T,,,,,,,,,,,,,
CCL8,P80075,C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8) [Cleaved into: MCP-2(6-76)],CCL8 MCP2 SCYA10 SCYA8,secreted,M1,m1 microglia,,,,,,,,,,,,,,,
CCR1,P32246,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),CCR1 CMKBR1 CMKR1 SCYAR1,extracellular,Th1,,,,,,,,,,,,,,,,
CCR10,P46092,C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (G-protein coupled receptor 2),CCR10 GPR2,extracellular,Th22,,,,,,,,,,,,,,,,
CCR2,P41597,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),CCR2 CMKBR2,extracellular,M2c,classical monocyte,,,,,,,,,,,,,,,
CCR3,P51677,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),CCR3 CMKBR3,extracellular,basophil,eosinophil,Th2,,,,,,,,,,,,,,
CCR4,P51679,C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194),CCR4 CMKBR4,extracellular,Th2,Th17,Th22,,,,,,,,,,,,,,
CCR5,P51681,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),CCR5 CMKBR5,extracellular,Th1,macrophage,intermediate monocyte,,,,,,,,,,,,,,
CCR6,P51684,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),CCR6 CKRL3 CMKBR6 GPR29 STRL22,extracellular,Th17,Th22,Lti,NCR-ILC3,,,,,,,,,,,,,
CCR7,P32248,C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197),CCR7 CMKBR7 EBI1 EVI1,extracellular,classical DC,Lti,naïve CD8 T,,,,,,,,,,,,,,
CCR8,P51685,C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198),CCR8 CKRL1 CMKBR8 CMKBRL2,extracellular,Th2,,,,,,,,,,,,,,,,
CCR9,P51686,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199),CCR9 GPR28,extracellular,ILC2,,,,,,,,,,,,,,,,
CD101,Q93033,Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101),CD101 EWI101 IGSF2 V7,extracellular,Treg,,,,,,,,,,,,,,,,
CD14,P08571,"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]",CD14,extracellular,monocytic MDSC,intermediate monocyte,classical monocyte,classical DC,inflammatory DC,macrophage,neutrophil,tissue associated Mac,,,,,,,,,
CD151,P48509,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151),CD151 TSPAN24,extracellular,platelet,,,,,,,,,,,,,,,,
CD160,O95971,"CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160) [Cleaved into: CD160 antigen, soluble form]",CD160 BY55,extracellular,NKT,,,,,,,,,,,,,,,,
CD163,Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)],CD163 M130,extracellular,m2a microglia,macrophage,M2a,M2c,classical monocyte,m2c microglia,,,,,,,,,,,
CD164,Q04900,Sialomucin core protein 24 (MUC-24) (Endolyn) (Multi-glycosylated core protein 24) (MGC-24) (MGC-24v) (CD antigen CD164),CD164,extracellular,stem cells,,,,,,,,,,,,,,,,
CD177,Q8N6Q3,CD177 antigen (Human neutrophil alloantigen 2a) (HNA-2a) (NB1 glycoprotein) (NB1 GP) (Polycythemia rubra vera protein 1) (PRV-1) (CD antigen CD177),CD177 NB1 PRV1 UNQ595/PRO1181,extracellular,neutrophil,,,,,,,,,,,,,,,,
CD180,Q99467,CD180 antigen (Lymphocyte antigen 64) (Radioprotective 105 kDa protein) (CD antigen CD180),CD180 LY64 RP105,extracellular,Marginal Zone B,,,,,,,,,,,,,,,,
CD19,P15391,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),CD19,extracellular,B,Marginal Zone B,memory B,regulatory B,,,,,,,,,,,,,
CD1A,P06126,T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a),CD1A,extracellular,classical DC,inflammatory DC,dermal DC,,,,,,,,,,,,,,
CD1B,P29016,T-cell surface glycoprotein CD1b (CD antigen CD1b),CD1B,extracellular,classical DC,,,,,,,,,,,,,,,,
CD1C,P29017,T-cell surface glycoprotein CD1c (CD antigen CD1c),CD1C,extracellular,Marginal Zone B,classical DC,inflammatory DC,,,,,,,,,,,,,,
CD1D,P15813,Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d),CD1D,extracellular,regulatory B,Marginal Zone B,,,,,,,,,,,,,,,
CD200,P41217,OX-2 membrane glycoprotein (CD antigen CD200),CD200 MOX1 MOX2 My033,extracellular,neuron,,,,,,,,,,,,,,,,
CD207,Q9UJ71,C-type lectin domain family 4 member K (Langerin) (CD antigen CD207),CD207 CLEC4K,extracellular,classical DC,,,,,,,,,,,,,,,,
CD209,Q9NNX6,CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209),CD209 CLEC4L,extracellular,classical DC,M2a,m2a microglia,,,,,,,,,,,,,,
CD22,P20273,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),CD22 SIGLEC2,extracellular,basophil,follicular B,,,,,,,,,,,,,,,
CD226,Q15762,CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226),CD226 DNAM1,extracellular,platelet,NK,,,,,,,,,,,,,,,
CD24,P25063,Signal transducer CD24 (Small cell lung carcinoma cluster 4 antigen) (CD antigen CD24),CD24 CD24A,extracellular,regulatory B,NCR-ILC3,follicular B,mast cell,neutrophil,eosinophil,epithelial,neuron,,,,,,,,,
CD244,Q9BZW8,Natural killer cell receptor 2B4 (NK cell activation-inducing ligand) (NAIL) (NK cell type I receptor protein 2B4) (NKR2B4) (h2B4) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244),CD244 2B4,extracellular,eosinophil,NK,,,,,,,,,,,,,,,
CD27,P26842,CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (T14) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27),CD27 TNFRSF7,extracellular,memory B,plasma B,regulatory B,follicular B,plasma B,central memory CD8 T,naïve CD8 T,memory B,yd T ,,,,,,,,
CD28,P10747,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),CD28,extracellular,central memory CD8 T,yd T ,,,,,,,,,,,,,,,
CD33,P20138,Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33),CD33 SIGLEC3,extracellular,monocytic MDSC,mast cell,neutrophil,macrophage,PMN MDSC,m2a microglia,basophil,CMP,,,,,,,,,
CD34,P28906,Hematopoietic progenitor cell antigen CD34 (CD antigen CD34),CD34,extracellular,HSC,MPP,CLP,CMP,MEP,GMP,endothelial cells,stem cells,,,,,,,,,
CD36,P16671,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),CD36 GP3B GP4,extracellular,macrophage,platelet,,,,,,,,,,,,,,,
CD38,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38),CD38,extracellular,CLP,CMP,MEP,GMP,plasma B,regulatory B,basophil,,,,,,,,,,
CD4,P01730,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),CD4,extracellular,Treg,Th1,Th2,Th9,Th17,Th22,follicular Th,,,,,,,,,,
CD40,P25942,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),CD40 TNFRSF5,extracellular,memory B,regulatory B,classical DC,m1 microglia,macrophage pan,follicular B,classical DC,,,,,,,,,,
CD44,P16070,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),CD44 LHR MDU2 MDU3 MIC4,extracellular,neutrophil,LTI,effector memory CD8 T,,,,,,,,,,,,,,
CD47,Q08722,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),CD47 MER6,extracellular,fibroblast,,,,,,,,,,,,,,,,
CD5,P06127,T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5),CD5 LEU1,extracellular,regulatory B,yd T ,,,,,,,,,,,,,,,
CD55,P08174,Complement decay-accelerating factor (CD antigen CD55),CD55 CR DAF,extracellular,neutrophil,,,,,,,,,,,,,,,,
CD59,P13987,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),CD59 MIC11 MIN1 MIN2 MIN3 MSK21,extracellular,HSC,,,,,,,,,,,,,,,,
CD6,P30203,T-cell differentiation antigen CD6 (T12) (TP120) (CD antigen CD6) [Cleaved into: Soluble CD6],CD6,extracellular,neuron,,,,,,,,,,,,,,,,
CD63,P08962,CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63),CD63 MLA1 TSPAN30,extracellular,macrophage pan,,,,,,,,,,,,,,,,
CD68,P34810,Macrosialin (Gp110) (CD antigen CD68),CD68,extracellular,macrophage,m1 microglia,M1,tissue associated Mac,,,,,,,,,,,,,
CD69,Q07108,Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69),CD69 CLEC2C,extracellular,basophil,ILC1,yd T ,NKT,,,,,,,,,,,,,
CD7,P09564,T-cell antigen CD7 (GP40) (T-cell leukemia antigen) (T-cell surface antigen Leu-9) (TP41) (CD antigen CD7),CD7,extracellular,LTI,CLP,,,,,,,,,,,,,,,
CD80,P33681,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),CD80 CD28LG CD28LG1 LAB7,extracellular,memory B,classical DC,macrophage,m1 microglia,M1,,,,,,,,,,,,
CD81,P60033,CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81),CD81 TAPA1 TSPAN28,extracellular,follicular B,Marginal Zone B,germinal center B,plasma B,fibroblast,,,,,,,,,,,,
CD83,Q01151,CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83),CD83,extracellular,classical DC,,,,,,,,,,,,,,,,
CD84,Q9UIB8,SLAM family member 5 (Cell surface antigen MAX.3) (Hly9-beta) (Leukocyte differentiation antigen CD84) (Signaling lymphocytic activation molecule 5) (CD antigen CD84),CD84 SLAMF5,extracellular,follicular Th,platelet,,,,,,,,,,,,,,,
CD86,P42081,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),CD86 CD28LG2,extracellular,memory B,classical DC,macrophage,M2b,m1 microglia,m2b microglia,classical DC,M1,,,,,,,,,
CD9,P21926,CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9),CD9 MIC3 TSPAN29 GIG2,extracellular,Marginal Zone B,plasma B,mast cell,basophil,eosinophil,platelet,,,,,,,,,,,
CD93,Q9NPY3,Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93),CD93 C1QR1 MXRA4,extracellular,neutrophil,,,,,,,,,,,,,,,,
CEBPA,P49715,CCAAT/enhancer-binding protein alpha (C/EBP alpha),CEBPA CEBP,intracellular,basophil,,,,,,,,,,,,,,,,
CLEC9A,Q6UXN8,C-type lectin domain family 9 member A (CD antigen CD370),CLEC9A UNQ9341/PRO34046,extracellular,dermal DC,,,,,,,,,,,,,,,,
CTLA4,P16410,Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152),CTLA4 CD152,extracellular,Treg,,,,,,,,,,,,,,,,
CX3CL1,P78423,Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine],CX3CL1 FKN NTT SCYD1 A-152E5.2,secreted,M1,intermediate monocyte,m1 microglia,,,,,,,,,,,,,,
CX3CR1,P49238,CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28),CX3CR1 CMKBRL1 GPR13,extracellular,classical DC,,,,,,,,,,,,,,,,
CXCL1,P09341,Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)],CXCL1 GRO GRO1 GROA MGSA SCYB1,secreted,M1,m1 microglia,M2b,,,,,,,,,,,,,,
CXCL10,P02778,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)],CXCL10 INP10 SCYB10,secreted,M2d,M1,macrophage pan,,,,,,,,,,,,,,
CXCL11,O14625,C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11),CXCL11 ITAC SCYB11 SCYB9B,secreted,M1,m1 microglia,macrophage pan,,,,,,,,,,,,,,
CXCL13,O43927,C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13),CXCL13 BCA1 BLC SCYB13,secreted,M1,m1 microglia,M2c,,,,,,,,,,,,,,
CXCL16,Q9H2A7,C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16),CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714,secreted,M2d,M1,,,,,,,,,,,,,,,
CXCL2,P19875,C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)],CXCL2 GRO2 GROB MIP2A SCYB2,secreted,M1,M2b,,,,,,,,,,,,,,,
CXCL3,P19876,C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)],CXCL3 GRO3 GROG SCYB3,secreted,M1,M2b,,,,,,,,,,,,,,,
CXCL5,P42830,C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)],CXCL5 ENA78 SCYB5,secreted,M1,,,,,,,,,,,,,,,,
CXCL9,Q07325,C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9),CXCL9 CMK MIG SCYB9,secreted,M1,macrophage pan,,,,,,,,,,,,,,,
CXCR1,P25024,C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181),CXCR1 CMKAR1 IL8RA,extracellular,neutrophil,M2a,,,,,,,,,,,,,,,
CXCR2,P25025,C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182),CXCR2 IL8RB,extracellular,M2a,,,,,,,,,,,,,,,,
CXCR3,P49682,C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183),CXCR3 GPR9,extracellular,ILC1,Th1,Tfh,,,,,,,,,,,,,,
